BAI   bioinformatics_types
BAM   bioinformatics_types
bed   bioinformatics_types
BedGz bioinformatics_types
BedTABIX  bioinformatics_types
Boolean   common_types
CompressedTarFile unix_types
CRAI  bioinformatics_types
CRAM  bioinformatics_types
CramPair  bioinformatics_types
csv   unix_types
Directory common_types
Double    common_types
Fasta bioinformatics_types
FastaBwa  bioinformatics_types
FastaFai  bioinformatics_types
FastaGz   bioinformatics_types
FastaGzBwa    bioinformatics_types
FastaGzFai    bioinformatics_types
FastaGzWithIndexes    bioinformatics_types
FastaWithIndexes  bioinformatics_types
FastDict  bioinformatics_types
FastGzDict    bioinformatics_types
Fastq bioinformatics_types
FastqGz   bioinformatics_types
File  common_types
Filename  common_types
Float common_types
Gzip  unix_types
HtmlFile  unix_types
IndexedBam    bioinformatics_types
Integer   common_types
jsonFile  unix_types
KallistoIdx   bioinformatics_types
SAM   bioinformatics_types
Stdout    common_types
String    common_types
TarFile   unix_types
TextFile  unix_types
tsv   unix_types
VCF   bioinformatics_types
CompressedVCF bioinformatics_types
IndexedVCF    bioinformatics_types
CompressedIndexedVCF  bioinformatics_types
WhisperIdx    bioinformatics_types
Zip   unix_types
